sequence,event_time,event_type,target,operation,value,raw_event
1,06:00,A,V1,T,40,"(A,V1,T,40)"
2,06:05,A,V2,T,30,"(A,V2,T,30)"
3,06:10,A,V3,F,100,"(A,V3,F,100)"
4,06:15,A,V4,F,120,"(A,V4,F,120)"
5,06:20,A,V2,O,0,"(A,V2,O,0)"
6,06:25,A,V5,T,20,"(A,V5,T,20)"
7,06:30,A,V6,T,20,"(A,V6,T,20)"
8,06:35,A,V7,F,110,"(A,V7,F,110)"
9,06:40,A,V8,T,20,"(A,V8,T,20)"
10,06:45,A,V9,F,105,"(A,V9,F,105)"
11,06:50,A,V10,T,10,"(A,V10,T,10)"
12,06:55,A,V11,F,110,"(A,V11,F,110)"
13,07:00,A,V12,F,90,"(A,V12,F,90)"
14,07:05,A,V13,F,110,"(A,V13,F,110)"
15,07:10,A,V14,F,95,"(A,V14,F,95)"
16,07:15,A,V15,T,10,"(A,V15,T,10)"
17,07:20,A,V16,F,60,"(A,V16,F,60)"
18,07:25,A,V17,T,10,"(A,V17,T,10)"
19,07:30,A,V18,T,7.5,"(A,V18,T,7.5)"
20,07:35,A,V19,F,75,"(A,V19,F,75)"
21,07:40,A,V20,F,95,"(A,V20,F,95)"
22,07:45,A,V21,F,95,"(A,V21,F,95)"
23,07:50,A,V22,F,70,"(A,V22,F,70)"
24,07:55,A,V23,F,80,"(A,V23,F,80)"
25,08:00,A,V24,T,5,"(A,V24,T,5)"
26,08:20,A,V25,T,15,"(A,V25,T,15)"
27,08:25,B,T1,O,0,"(B,T1,O,0)"
28,08:30,A,V26,T,20,"(A,V26,T,20)"
29,08:35,A,V27,T,25,"(A,V27,T,25)"
30,08:50,B,F1,O,0,"(B,F1,O,0)"
31,09:00,A,V28,F,30,"(A,V28,F,30)"
32,09:10,A,V1,O,0,"(A,V1,O,0)"
33,09:15,B,T1,O,1,"(B,T1,O,1)"
34,09:20,A,V27,O,0,"(A,V27,O,0)"
35,09:25,C,V21,O,35,"(C,V21,O,35)"
36,09:30,A,V19,O,0,"(A,V19,O,0)"
37,09:35,A,V28,O,0,"(A,V28,O,0)"
38,09:40,C,V23,O,40,"(C,V23,O,40)"
39,09:50,A,V29,T,30,"(A,V29,T,30)"
40,09:55,C,V14,O,30,"(C,V14,O,30)"
41,10:00,A,V30,T,10,"(A,V30,T,10)"
42,10:50,B,F1,O,1,"(B,F1,O,1)"
